cohort,subject,cage,sex,genotype,age,date,time,distance_m,left_carousel_time,right_carousel_time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,5277,952884,M,Cre (-) Control,14 Weeks,10/7/22,10:26,23.842,107.4,165.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,5278,952884,M,Cre (-) Control,14 Weeks,10/7/22,11:04,28.613,88.7,100.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,5285,952886,M,Cre (-) Control,14 Weeks,8/24/22,12:47,24.291,137.6,65.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,5286,952887,F,Cre (-) Control,14 Weeks,8/26/22,10:27,23.516,98.8,83.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,5287,952887,F,Cre (-) Control,14 Weeks,8/26/22,11:07,25.022,121.3,95.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,5289,952887,F,Cre (-) Control,14 Weeks,8/26/22,12:25,27.597,97.3,100.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,5292,980743,F,Cre (-) Control,13 Weeks,10/8/22,13:14,20.026,24,70.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,5489,994270,M,Cre (-) Control,9 Weeks,10/27/22,12:48,35.294,99.5,82.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,5643,1005482,M,Cre (-) Control,16 Weeks,12/21/22,11:34,20.906,77.5,104.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,5281,952885,F,Cre (+) Control,14 Weeks,8/26/22,9:48,23.047,135.8,146.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,5282,952886,M,Cre (+) Control,14 Weeks,8/24/22,11:28,23.557,168.7,6.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,5284,952886,M,Cre (+) Control,14 Weeks,8/24/22,12:08,27.194,105.9,69.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,5288,952887,F,Cre (+) Control,14 Weeks,8/26/22,11:47,27.212,129.6,108.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,5290,980742,M,Cre (+) Control,13 Weeks,10/7/22,11:42,26.573,45.9,163.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,5291,980742,M,Cre (+) Control,13 Weeks,10/7/22,12:22,24.251,50.2,173.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,5488,994270,M,Cre (+) Control,9 Weeks,10/27/22,11:30,29.144,104.5,44.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,5720,1012180,M,Cre (+) Control,12 Weeks,12/21/22,12:16,24.728,131.3,108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,5733,1012191,M,Cre (+) Control,11 Weeks,12/21/22,12:54,33.953,152.8,104.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,5734,1012191,M,Cre (+) Control,11 Weeks,12/21/22,13:35,34.78,167.4,118.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,5735,1012192,F,Cre (+) Control,11 Weeks,12/22/22,9:36,32.238,116,91.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,5736,1012192,F,Cre (+) Control,11 Weeks,12/22/22,10:15,29.268,119.7,121.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,5737,1012192,F,Cre (+) Control,11 Weeks,12/22/22,10:53,27.604,172.3,43.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,5738,1012192,F,Cre (+) Control,11 Weeks,12/22/22,11:33,35.585,126.7,107.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,5235,952871,M,Mutants,15 Weeks,8/24/22,10:09,28.735,59.5,32.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,5239,952872,F,Mutants,15 Weeks,8/25/22,9:55,28.4,61.2,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,5243,952873,M,Mutants,15 Weeks,8/24/22,10:49,29.172,69.4,105.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
