cohort,subject,cage,sex,genotype,genotype_alt,Age,day,Date,Time,latency_slope,latency_slope_sign,num_shocks,latency_first_shock,latency_resample,max_cons_avoid,max_cons_avoid_slope,max_cons_avoid_slope_sign,max_cons_resample,
2,5277,952884,M,Cre (-) Control,control,14 Weeks,1,2022-10-15,11:08,-2.02,neg,11,93.1,0.0151544589081018,96.224,,,0,
2,5277,952884,M,Cre (-) Control,control,14 Weeks,2,2022-10-16,11:22,-2.02,neg,12,86.9,0.00310860695550806,159.5,,,0.125603442799975,
2,5277,952884,M,Cre (-) Control,control,14 Weeks,3,2022-10-19,11:10,-2.02,neg,3,85.3,0,418.2,,,0.639125325541511,
2,5277,952884,M,Cre (-) Control,control,14 Weeks,4,2022-10-20,11:50,-2.02,neg,2,86.9,0.00310860695550806,430.4,,,0.663342437908912,
2,5277,952884,M,Cre (-) Control,control,14 Weeks,5,2022-10-21,10:29,-2.02,neg,0,600,1,600,127.8,pos,1,
2,5278,952884,M,Cre (-) Control,control,14 Weeks,1,2022-10-15,11:20,-7.27,neg,12,115.3,1.0,115.3,,,1.0,
2,5278,952884,M,Cre (-) Control,control,14 Weeks,2,2022-10-16,11:35,-7.27,neg,15,107.2,0.7,107.2,,,0.7,
2,5278,952884,M,Cre (-) Control,control,14 Weeks,3,2022-10-19,11:23,-7.27,neg,28,94.5,0.2,94.5,,,0.2,
2,5278,952884,M,Cre (-) Control,control,14 Weeks,4,2022-10-20,12:03,-7.27,neg,39,87.9,0.0,87.9,,,0.0,
2,5278,952884,M,Cre (-) Control,control,14 Weeks,5,2022-10-21,10:41,-7.27,neg,38,88.6,0.0,88.6,-7.27,neg,0.0,
1,5285,952886,M,Cre (-) Control,control,14 Weeks,1,2022-09-02,12:13,0.22,pos,22,87.9,0.240506329113924,87.9,,,0.0939477848101266,
1,5285,952886,M,Cre (-) Control,control,14 Weeks,2,2022-09-03,12:02,0.22,pos,22,86,0,86,,,0,
1,5285,952886,M,Cre (-) Control,control,14 Weeks,3,2022-09-06,12:13,0.22,pos,14,93.9,1,93.9,,,0.390625,
1,5285,952886,M,Cre (-) Control,control,14 Weeks,4,2022-09-07,09:58,0.22,pos,11,86.8,0.10126582278481,92.688,,,0.330696202531646,
1,5285,952886,M,Cre (-) Control,control,14 Weeks,5,2022-09-08,12:02,0.22,pos,11,88.6,0.329113924050633,106.224,4.334,pos,1,
1,5286,952887,F,Cre (-) Control,control,14 Weeks,1,2022-09-02,13:44,-1.3,neg,13,84,0.858638743455497,84,,,0.23130300693909,
1,5286,952887,F,Cre (-) Control,control,14 Weeks,2,2022-09-03,14:07,-1.3,neg,17,86,0.963350785340314,86,,,0.327679259830378,
1,5286,952887,F,Cre (-) Control,control,14 Weeks,3,2022-09-06,13:39,-1.3,neg,18,79.2,0.6,79.2,,,0,
1,5286,952887,F,Cre (-) Control,control,14 Weeks,4,2022-09-07,11:18,-1.3,neg,19,67.6,0.0,99.952,,,1,
1,5286,952887,F,Cre (-) Control,control,14 Weeks,5,2022-09-08,13:24,-1.3,neg,13,86.7,1.0,86.7,1.935,pos,0.361410948342328,
1,5287,952887,F,Cre (-) Control,control,14 Weeks,1,2022-09-02,13:57,-12,neg,9,142.5,0.9,142.5,,,0.9,
1,5287,952887,F,Cre (-) Control,control,14 Weeks,2,2022-09-03,14:20,-12,neg,14,98.5,0.2,98.5,,,0.2,
1,5287,952887,F,Cre (-) Control,control,14 Weeks,3,2022-09-06,13:52,-12,neg,10,152.2,1.0,152.2,,,1.0,
1,5287,952887,F,Cre (-) Control,control,14 Weeks,4,2022-09-07,11:31,-12,Neg,25,93.9,0.1,93.9,,,0.1,
1,5287,952887,F,Cre (-) Control,control,14 Weeks,5,2022-09-08,13:38,-12,neg,26,84.8,0.0,84.8,-12,neg,0.0,
1,5289,952887,F,Cre (-) Control,control,14 Weeks,1,2022-09-02,14:22,0.72,pos,13,90.1,1.0,92.288,,,0.396595795868042,
1,5289,952887,F,Cre (-) Control,control,14 Weeks,2,2022-09-03,14:45,0.72,pos,11,76.9,0.0,112.353,,,1,
1,5289,952887,F,Cre (-) Control,control,14 Weeks,3,2022-09-06,14:18,0.72,pos,15,79.1,0.2,79.1,,,0,
1,5289,952887,F,Cre (-) Control,control,14 Weeks,4,2022-09-07,11:57,0.72,pos,17,85.9,0.7,85.9,,,0.204492827714793,
1,5289,952887,F,Cre (-) Control,control,14 Weeks,5,2022-09-08,14:05,0.72,pos,13,89.2,0.9,89.2,-3.263,neg,0.303731994105795,
2,5292,980743,F,Cre (-) Control,control,13 Weeks,1,2022-10-15,13:10,0.67,pos,13,86.8,0.7,97.36,,,0.0723156736362207,
2,5292,980743,F,Cre (-) Control,control,13 Weeks,2,2022-10-16,13:25,0.67,pos,2,86.3,0.6,333.4,,,1,
2,5292,980743,F,Cre (-) Control,control,13 Weeks,3,2022-10-19,13:16,0.67,pos,11,68.8,0.5,78.96,,,0,
2,5292,980743,F,Cre (-) Control,control,13 Weeks,4,2022-10-20,14:20,0.67,pos,7,4.4,0.0,142.4,,,0.249331866058796,
2,5292,980743,F,Cre (-) Control,control,13 Weeks,5,2022-10-21,12:34,0.67,pos,3,131.1,1.0,281.743,17.78,pos,0.796977676465964,
3,5489,994270,M,Cre (-) Control,control,9 Weeks,1,2022-11-03,13:00,-0.96,neg,16,89.2,0.205855443732845,89.2,,,0.205855443732845,
3,5489,994270,M,Cre (-) Control,control,9 Weeks,2,2022-11-04,10:17,-0.96,neg,9,89.8,0.233302836230558,106.56,,,1,
3,5489,994270,M,Cre (-) Control,control,9 Weeks,3,2022-11-07,10:46,-0.96,neg,18,84.7,0,84.7,,,0,
3,5489,994270,M,Cre (-) Control,control,9 Weeks,4,2022-11-08,10:38,-0.96,neg,17,85.4,0.0320219579139982,90.496,,,0.265141811527905,
3,5489,994270,M,Cre (-) Control,control,9 Weeks,5,2022-11-09,10:43,-0.96,neg,19,86.6,0.0869167429094236,86.6,-2.126,neg,0.0869167429094236,
4,5643,1005482,M,Cre (-) Control,control,16 Weeks,1,2022-12-30,11:45,-1.16,neg,15,82.7,0.5,82.7,,,0,
4,5643,1005482,M,Cre (-) Control,control,16 Weeks,2,2022-12-31,10:16,-1.16,neg,26,85.9,0.7,85.9,,,0.0792628554443674,
4,5643,1005482,M,Cre (-) Control,control,16 Weeks,3,2023-01-03,12:10,-1.16,neg,32,88.9,1.0,88.9,,,0.153571782423462,
4,5643,1005482,M,Cre (-) Control,control,16 Weeks,4,2023-01-04,11:43,-1.16,neg,53,84.5,0.6,84.5,,,0.0445853561874567,
4,5643,1005482,M,Cre (-) Control,control,16 Weeks,5,2023-01-05,12:41,-1.16,neg,38,77.6,0.0,123.072,7.934,pos,1,
1,5281,952885,F,Cre (+) Control,control,14 Weeks,1,2022-09-02,13:30,6.29,pos,11,96.9,0.2,126.144,,,0.000,
1,5281,952885,F,Cre (+) Control,control,14 Weeks,2,2022-09-03,13:52,6.29,pos,5,88.2,0.0,219.503,,,0.621,
1,5281,952885,F,Cre (+) Control,control,14 Weeks,3,2022-09-06,13:22,6.29,pos,5,102.7,0.3,273.999,,,0.983,
1,5281,952885,F,Cre (+) Control,control,14 Weeks,4,2022-09-07,11:04,6.29,pos,3,133.3,1.0,230.416,,,0.693,
1,5281,952885,F,Cre (+) Control,control,14 Weeks,5,2022-09-08,13:11,6.29,pos,3,105.8,0.4,276.528,31.17,pos,1.000,
1,5282,952886,M,Cre (+) Control,control,14 Weeks,1,2022-09-02,11:46,-1.56,neg,12,89.8,1.0,89.8,,,0.1,
1,5282,952886,M,Cre (+) Control,control,14 Weeks,2,2022-09-03,11:36,-1.56,neg,13,93.4,1.0,93.4,,,0.3,
1,5282,952886,M,Cre (+) Control,control,14 Weeks,3,2022-09-06,11:41,-1.56,neg,21,3.2,0.0,91.824,,,0.232909090909091,
1,5282,952886,M,Cre (+) Control,control,14 Weeks,4,2022-09-07,09:32,-1.56,neg,16,84,0.895787139689579,108.7,,,1.0,
1,5282,952886,M,Cre (+) Control,control,14 Weeks,5,2022-09-08,11:35,-1.56,neg,18,86.7,0.9,86.7,0.91,pos,0.0,
1,5284,952886,M,Cre (+) Control,control,14 Weeks,1,2022-09-02,12:00,1.98,pos,6,92.7,0.2,169.729,,,1,
1,5284,952886,M,Cre (+) Control,control,14 Weeks,2,2022-09-03,11:50,1.98,pos,14,79.6,0.0,79.6,,,0,
1,5284,952886,M,Cre (+) Control,control,14 Weeks,3,2022-09-06,11:55,1.98,pos,11,140.1,1.0,140.1,,,0.671260082770252,
1,5284,952886,M,Cre (+) Control,control,14 Weeks,4,2022-09-07,09:45,1.98,pos,11,82.4,0.0,83.84,,,0.047043681833816,
1,5284,952886,M,Cre (+) Control,control,14 Weeks,5,2022-09-08,11:48,1.98,pos,19,101.2,0.4,101.2,-13.28,neg,0.239656492360949,
1,5288,952887,F,Cre (+) Control,control,14 Weeks,1,2022-09-02,14:10,-2.84,neg,8,99.8,0.1,132.816,,,0.184040558372109,
1,5288,952887,F,Cre (+) Control,control,14 Weeks,2,2022-09-03,14:33,-2.84,neg,2,177.1,1.0,320.8,,,1,
1,5288,952887,F,Cre (+) Control,control,14 Weeks,3,2022-09-06,14:05,-2.84,neg,12,87.3,0.0,90.416,,,0,
1,5288,952887,F,Cre (+) Control,control,14 Weeks,4,2022-09-07,11:44,-2.84,neg,15,97.3,0.1,97.3,,,0.0298805472602264,
