ID,region,region_france,region_morocco,region_UK,region_ghana,region_georgia,group,sex,sex_female,CS_1,CS_2,CS_3,CS_4,CS_5,CS_6,CS_7,CS_8,CS_9,CS_10,CS_11,CS_12,CS_13,CS_14,CS_15,CS_16,CS_mean,CN_1,CN_2,CN_3,CN_4,CN_5,CN_6,CN_7,CN_8,CN_9,CN_10,CN_11,CN_12,CN_13,CN_14,CN_15,CN_16,CN_17,CN_18,CN_19,CN_20,CN_21,CN_22,CN_23,CN_24,CN_25,CN_26,CN_27,CN_28,CN_mean,R_1,R_2,R_3,R_4,R_5,R_6,R_7,R_mean,ATNumSNPs,,,,
B139,France,1,0,0,0,0,Bergman,M,0,440.8758,NaN,NaN,489.1469,433.1146,483.0893,393.7405,404.3412,499.7476,460.3735,NaN,NaN,NaN,NaN,NaN,NaN,450.553675,165.84,137.14,140.14,153.82,162.83,146.42,161.32,153.32,174.22,138.77,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,153.38,1.038,1.011,1.029,NaN,NaN,NaN,NaN,1.026,180,,,,
B140,France,1,0,0,0,0,Bergman,M,0,434.53035,464.2123,384.8303,462.4866,471.1151,467.6637,403.813,376.2018,436.6012,391.7331,NaN,NaN,NaN,NaN,NaN,NaN,429.318745,165.34,161.45,162.58,164.98,199.22,163.50,169.30,190.58,157.34,195.17,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,172.95,1.798121,1.657873,1.353145,1.506587,1.3793,1.539005,NaN,1.53900516666667,200,,,,
B141,France,1,0,0,0,0,Bergman,M,0,1001.24911,1116.526,614.3479,1202.81,1038.869,723.0668,1151.04,1347.769,807.6259,1035.418,NaN,NaN,NaN,NaN,NaN,NaN,1003.872171,184.74,119.40,184.39,197.76,134.69,162.99,178.01,140.85,156.61,159.99,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,161.94,1.632,1.82,1.985,NaN,NaN,NaN,NaN,1.81233333333333,37,,,,
B142,France,1,0,0,0,0,Bergman,M,0,796.23634,888.7337,928.4247,710.9869,914.6191,709.2612,895.6365,885.2823,771.3863,572.9312,NaN,NaN,NaN,NaN,NaN,NaN,807.349824,159.44,153.93,155.68,147.64,131.71,129.73,173.96,131.50,126.07,148.91,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,145.86,1.723,1.78,1.743,NaN,NaN,NaN,NaN,1.74866666666667,199,,,,
B143,France,1,0,0,0,0,Bergman,M,0,960.35004,962.9386,904.2649,707.5355,940.5046,1299.449,1021.612,705.8098,1035.418,852.494,NaN,NaN,NaN,NaN,NaN,NaN,939.037644,160.43,135.79,127.42,145.11,137.97,152.56,122.18,132.60,145.51,148.02,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,140.76,1.651,1.655,1.734,NaN,NaN,NaN,NaN,1.68,27,,,,
B144,France,1,0,0,0,0,Bergman,M,0,1257.34246,916.3448,971.5671,733.421,792.0947,1382.283,1642.863,1244.227,1660.12,1613.526,NaN,NaN,NaN,NaN,NaN,NaN,1221.378906,180.55,182.37,188.93,186.70,156.00,187.84,179.64,174.21,162.64,161.55,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,176.04,1.102,1.168,1.074,NaN,NaN,NaN,NaN,1.11466666666667,,,,,
B145,France,1,0,0,0,0,Bergman,M,0,678.02614,629.8792,733.421,547.0458,567.7541,710.9869,629.8792,786.9176,792.0947,603.9938,NaN,NaN,NaN,NaN,NaN,NaN,667.999844,168.61,121.68,168.66,159.28,172.53,141.64,158.34,153.35,116.16,174.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,153.43,1.811562,2.050778,1.782644,1.81781,1.908463,1.874251,NaN,1.87425133333333,182,,,,
B146,France,1,0,0,0,0,Bergman,M,0,796.92661,731.6953,845.5913,890.4594,761.0321,612.6222,854.2197,826.6086,812.803,861.1225,NaN,NaN,NaN,NaN,NaN,NaN,799.308071,245.31,225.32,251.34,247.30,252.75,302.47,267.32,220.14,275.26,245.47,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,253.27,1.840382,1.93149,1.800153,1.397352,1.484359,1.390325,1.640677,1.64067685714286,38,,,,
B147,France,1,0,0,0,0,Bergman,M,0,1270.9755,1344.318,1044.046,773.112,1164.845,1133.783,1106.171,1411.62,1482.373,1547.95,NaN,NaN,NaN,NaN,NaN,NaN,1227.91935,177.98,152.75,144.35,184.12,168.07,170.47,186.81,156.19,151.92,165.30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,165.80,1.504,1.307,1.573,NaN,NaN,NaN,NaN,1.46133333333333,32,,,,
B148,France,1,0,0,0,0,Bergman,M,0,890.11422,874.9281,652.3133,968.1157,873.2024,1068.206,1018.161,911.1677,714.4383,923.2476,NaN,NaN,NaN,NaN,NaN,NaN,889.389432,140.95,149.20,145.69,164.74,147.02,103.26,154.49,143.06,144.91,150.24,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,144.36,1.454,1.162,1.502,NaN,NaN,NaN,NaN,1.37266666666667,40,,,,
B149,France,1,0,0,0,0,Bergman,M,0,1264.07259,1406.443,921.5219,1511.71,1135.508,1145.862,1130.331,1794.724,1233.873,966.39,NaN,NaN,NaN,NaN,NaN,NaN,1251.043549,140.84,139.99,141.21,139.77,152.34,144.27,166.61,142.32,135.73,175.71,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,147.88,1.445,1.698,1.59,NaN,NaN,NaN,NaN,1.57766666666667,179,,,,
B151,France,1,0,0,0,0,Bergman,M,0,404.84839,533.2402,543.5944,348.5907,497.0006,305.4483,427.9727,417.6185,384.8303,284.7399,NaN,NaN,NaN,NaN,NaN,NaN,414.788399,174.74,189.97,141.11,216.15,140.91,180.41,198.81,201.02,166.03,213.25,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,182.24,0.94,1.33,1.181,NaN,NaN,NaN,NaN,1.15033333333333,195,,,,
