experiment,chamber,cohort,subject,cage,sex,genotype,age,batch,cross_latency_sec,total_distance_cm,time_movement_sec
2022-08-30 SUCLA2 c1 PA2,Cage 1,1,5235,952871,M,Mutants,15 Weeks,Batch 1,256.53,124.78,136.19
2022-08-30 SUCLA2 c1 PA2,Cage 1,1,5239,952872,F,Mutants,15 Weeks,Batch 2,9.78,19.05,23.2
2022-08-30 SUCLA2 c1 PA2,Cage 2,1,5243,952873,M,Mutants,15 Weeks,Batch 1,7.91,16.83,15.95
2022-08-30 SUCLA2 c1 PA2,Cage 2,1,5246,952874,F,Mutants,15 Weeks,Batch 2,54.14,5.72,12.06
2022-08-30 SUCLA2 c1 PA2,Cage 3,1,5247,952874,F,Mutants,15 Weeks,Batch 2,13.08,10.48,22.25
2022-08-30 SUCLA2 c1 PA2,Cage 4,1,5267,952878,F,Mutants,15 Weeks,Batch 2,4.72,32.07,17.03
2022-10-12 SUCLA2 c2 PA2,Cage 1,2,5277,952884,M,Cre (-) Control,14 Weeks,Batch 2,20.59,27.94,36.45
2022-10-12 SUCLA2 c2 PA2,Cage 2,2,5278,952884,M,Cre (-) Control,14 Weeks,Batch 2,273.89,19.05,74.62
2022-08-30 SUCLA2 c1 PA2,Cage 5,1,5281,952885,F,Cre (+) Control,14 Weeks,Batch 2,92.53,23.18,25.55
2022-08-30 SUCLA2 c1 PA2,Cage 3,1,5282,952886,M,Cre (+) Control,14 Weeks,Batch 1,278.31,159.39,125.64
2022-08-30 SUCLA2 c1 PA2,Cage 4,1,5284,952886,M,Cre (+) Control,14 Weeks,Batch 1,300.02,34.61,74.7
2022-08-30 SUCLA2 c1 PA2,Cage 5,1,5285,952886,M,Cre (-) Control,14 Weeks,Batch 1,300.02,22.86,63.58
2022-08-30 SUCLA2 c1 PA2,Cage 1,1,5286,952887,F,Cre (-) Control,14 Weeks,Batch 3,300,11.43,68.71
2022-08-30 SUCLA2 c1 PA2,Cage 2,1,5287,952887,F,Cre (-) Control,14 Weeks,Batch 3,300,57.79,106.13
2022-08-30 SUCLA2 c1 PA2,Cage 3,1,5288,952887,F,Cre (+) Control,14 Weeks,Batch 3,26.28,10.16,27
2022-08-30 SUCLA2 c1 PA2,Cage 4,1,5289,952887,F,Cre (-) Control,14 Weeks,Batch 3,24.7,6.35,19.25
2022-10-12 SUCLA2 c2 PA2,Cage 3,2,5290,980742,M,Cre (+) Control,13 Weeks,Batch 2,23.5,3.81,27.52
2022-10-12 SUCLA2 c2 PA2,Cage 4,2,5291,980742,M,Cre (+) Control,13 Weeks,Batch 2,7.24,8.89,11.58
2022-10-12 SUCLA2 c2 PA2,Cage 6,2,5292,980743,F,Cre (-) Control,13 Weeks,Batch 3,18.31,21.59,31.59
2022-10-12 SUCLA2 c2 PA2,Cage 1,2,5294,980744,M,Mutants,12 Weeks,Batch 1,72.5,21.59,35.05
2022-10-12 SUCLA2 c2 PA2,Cage 2,2,5295,980744,M,Mutants,12 Weeks,Batch 1,32.59,14.61,20.48
2022-10-12 SUCLA2 c2 PA2,Cage 3,2,5314,980751,M,Mutants,12 Weeks,Batch 1,59.19,13.97,27.09
2022-10-12 SUCLA2 c2 PA2,Cage 4,2,5315,980751,M,Mutants,12 Weeks,Batch 1,17.05,26.67,21.8
2022-10-12 SUCLA2 c2 PA2,Cage 1,2,5317,980752,F,Mutants,12 Weeks,Batch 3,144.14,44.45,89.96
2022-10-12 SUCLA2 c2 PA2,Cage 2,2,5319,980753,F,Mutants,11 Weeks,Batch 3,18.23,26.35,30.92
2022-10-12 SUCLA2 c2 PA2,Cage 5,2,5325,980755,M,Mutants,11 Weeks,Batch 1,31.97,13.97,19.61
2022-10-12 SUCLA2 c2 PA2,Cage 3,2,5329,980756,F,Mutants,11 Weeks,Batch 3,75.45,22.86,27.83
2022-10-12 SUCLA2 c2 PA2,Cage 4,2,5331,980756,F,Mutants,11 Weeks,Batch 3,28.66,13.02,18
2022-10-12 SUCLA2 c2 PA2,Cage 5,2,5332,980756,F,Mutants,11 Weeks,Batch 3,27.91,0,14.69
2022-10-31 SUCLA2 c3 PA2,Cage 1,3,5440,994256,F,Mutants,10 Weeks,Batch 2,47,38.42,25.25
2022-10-31 SUCLA2 c3 PA2,Cage 1,3,5459,944260,M,Mutants,10 Weeks,Batch 1,90.67,29.53,32.91
2022-10-31 SUCLA2 c3 PA2,Cage 2,3,5461,944260,M,Mutants,10 Weeks,Batch 1,235.45,93.66,121.72
2022-10-31 SUCLA2 c3 PA2,Cage 3,3,5462,944260,M,Mutants,10 Weeks,Batch 1,300.03,90.17,98.26
2022-10-31 SUCLA2 c3 PA2,Cage 3,3,5465,994261,F,Mutants,10 Weeks,Batch 2,249.66,71.12,70.84
2022-10-31 SUCLA2 c3 PA2,Cage 2,3,5470,994257,F,Mutants,10 Weeks,Batch 2,8.28,25.4,19.47
2022-10-31 SUCLA2 c3 PA2,Cage 4,3,5488,994270,M,Cre (+) Control,9 Weeks,Batch 1,300.03,24.13,50.57
2022-10-31 SUCLA2 c3 PA2,Cage 5,3,5489,994270,M,Cre (-) Control,9 Weeks,Batch 1,189.41,20.32,70.22
2022-12-27 SUCLA2 co4 PA2,Cage 1,4,5643,1005482,M,Cre (-) Control,16 Weeks,Batch 2,7.22,17.78,14.47
2022-12-27 SUCLA2 co4 PA2,Cage 1,4,5665,1012164,M,Mutants,14 Weeks,Batch 1,105.17,19.05,47.78
2022-12-27 SUCLA2 co4 PA2,Cage 2,4,5666,1012164,M,Mutants,14 Weeks,Batch 1,6.92,24.13,16.39
2022-12-27 SUCLA2 co4 PA2,Cage 3,4,5668,1012164,M,Mutants,14 Weeks,Batch 1,300.03,50.48,89.34
2022-12-27 SUCLA2 co4 PA2,Cage 2,4,5720,1012180,M,Cre (+) Control,12 Weeks,Batch 2,31.08,12.7,25.86
2022-12-27 SUCLA2 co4 PA2,Cage 3,4,5733,1012191,M,Cre (+) Control,11 Weeks,Batch 2,99.77,39.69,51.8
2022-12-27 SUCLA2 co4 PA2,Cage 4,4,5734,1012191,M,Cre (+) Control,11 Weeks,Batch 2,7.02,11.43,19.33
2022-12-27 SUCLA2 co4 PA2,Cage 1,4,5735,1012192,F,Cre (+) Control,11 Weeks,Batch 3,8.72,15.24,20.34
2022-12-27 SUCLA2 co4 PA2,Cage 2,4,5736,1012192,F,Cre (+) Control,11 Weeks,Batch 3,44.41,28.58,35.52
2022-12-27 SUCLA2 co4 PA2,Cage 3,4,5737,1012192,F,Cre (+) Control,11 Weeks,Batch 3,15.91,9.21,21.86
2022-12-27 SUCLA2 co4 PA2,Cage 4,4,5738,1012192,F,Cre (+) Control,11 Weeks,Batch 3,14.5,8.26,14.5
